order_id,order_value,category,discount_pct,payment_method,past_orders,past_returns,account_age_days,city_tier,delivery_days,product_rating,returned
ORD100000,1885.06,Books,51.1,Prepaid,4,2,2,Metro,9,3.7,0
ORD100001,1576.1,Electronics,7.1,COD,1,1,146,Metro,5,3.9,1
ORD100002,854.64,Home,28.4,COD,8,0,13,Metro,8,4.7,1
ORD100003,370.05,Beauty,7.9,COD,3,1,120,Tier3,7,4.5,0
ORD100004,1260.34,Beauty,26.4,Prepaid,3,0,9,Tier2,7,4.9,0
ORD100005,854.05,Beauty,5.9,Prepaid,10,0,77,Tier3,9,3.7,1
ORD100006,386.42,Apparel,51.1,COD,2,0,85,Metro,7,3.7,1
ORD100007,927.14,Apparel,15.6,COD,3,0,487,Tier3,5,5.0,0
ORD100008,926.3,Groceries,25.6,COD,4,0,218,Tier3,8,4.5,0
ORD100009,4352.52,Home,22.6,Prepaid,6,2,656,Metro,4,4.2,0
ORD100010,1522.17,Home,5.4,Prepaid,6,0,92,Tier2,6,3.4,1
ORD100011,1346.81,Electronics,28.9,Prepaid,1,0,846,Tier2,5,3.5,1
ORD100012,1884.24,Home,23.7,COD,5,0,286,Tier3,6,3.1,0
ORD100013,2452.61,Books,23.3,Prepaid,9,0,29,Tier3,7,3.6,0
ORD100014,2175.1,Electronics,5.7,Prepaid,4,0,227,Tier2,3,4.7,0
ORD100015,387.35,Home,1.4,COD,3,0,818,Tier3,1,3.6,1
ORD100016,446.45,Books,16.6,Prepaid,2,2,4,Metro,3,4.4,0
ORD100017,2009.89,Apparel,13.7,Prepaid,6,0,96,Tier2,2,4.3,0
ORD100018,2472.11,Footwear,17.3,Prepaid,5,3,139,Metro,7,3.8,0
ORD100019,3666.09,Books,13.9,Prepaid,3,1,115,Tier3,4,4.6,0
ORD100020,2862.9,Books,13.6,COD,4,3,546,Metro,8,3.7,0
ORD100021,1587.64,Electronics,22.8,Prepaid,5,0,87,Tier3,2,3.6,0
ORD100022,1284.17,Beauty,22.6,Prepaid,6,2,356,Tier2,9,5.0,0
ORD100023,1798.43,Books,20.9,Prepaid,2,0,312,Tier2,8,4.6,0
ORD100024,201.47,Apparel,22.8,COD,1,1,261,Metro,9,4.4,0
ORD100025,1201.31,Beauty,22.1,COD,3,0,43,Metro,5,4.0,1
ORD100026,1382.45,Beauty,16.2,Prepaid,3,0,206,Metro,6,4.1,0
ORD100027,3662.86,Groceries,5.3,Prepaid,8,1,179,Metro,7,5.0,0
ORD100028,1582.48,Footwear,22.8,Prepaid,2,0,41,Metro,6,3.5,1
ORD100029,2000.75,Apparel,16.6,Prepaid,2,0,185,Metro,2,3.8,0
ORD100030,653.94,Footwear,18.6,Prepaid,2,0,288,Tier2,7,5.0,0
ORD100031,1611.46,Electronics,39.3,COD,3,0,116,Tier2,7,4.0,0
ORD100032,618.42,Beauty,10.0,Prepaid,3,0,311,Tier2,2,4.0,0
ORD100033,256.23,Apparel,14.4,COD,2,0,158,Metro,4,4.5,0
ORD100034,1488.99,Groceries,15.2,COD,4,0,36,Metro,6,3.3,0
ORD100035,1629.41,Electronics,25.1,Prepaid,1,0,37,Metro,8,4.8,0
ORD100036,1872.92,Beauty,19.6,Prepaid,5,0,53,Tier3,5,4.4,1
ORD100037,395.0,Apparel,4.2,Prepaid,5,2,843,Metro,7,4.5,1
ORD100038,2806.24,Books,11.6,Prepaid,2,2,516,Tier2,4,5.0,0
ORD100039,582.85,Beauty,19.6,Prepaid,5,0,286,Metro,8,5.0,0
ORD100040,1471.29,Home,26.2,Prepaid,1,1,80,Metro,4,4.0,1
ORD100041,2812.74,Beauty,15.7,COD,6,1,258,Tier2,4,4.5,0
ORD100042,1177.47,Books,23.1,COD,4,0,166,Metro,8,3.9,0
ORD100043,1499.95,Beauty,38.3,COD,4,0,419,Tier3,3,3.3,0
ORD100044,4085.34,Home,4.0,Prepaid,9,2,156,Tier3,7,3.0,1
ORD100045,4112.45,Books,15.6,Prepaid,6,2,60,Metro,2,5.0,0
ORD100046,2155.13,Groceries,17.7,Prepaid,3,0,206,Metro,7,3.5,0
ORD100047,597.24,Footwear,12.7,Prepaid,1,1,277,Tier2,5,3.9,0
ORD100048,3009.82,Electronics,22.4,COD,1,1,205,Tier2,2,3.7,1
ORD100049,5394.66,Apparel,10.9,COD,1,0,113,Tier2,1,3.2,1
ORD100050,1113.05,Electronics,24.0,Prepaid,3,2,251,Tier3,7,4.3,1
ORD100051,1124.97,Books,57.2,Prepaid,6,1,231,Tier2,6,4.6,1
ORD100052,312.31,Footwear,22.0,Prepaid,0,0,27,Metro,5,5.0,0
ORD100053,768.11,Apparel,7.4,Prepaid,3,0,1319,Metro,9,3.9,0
ORD100054,613.39,Electronics,30.7,Prepaid,5,1,78,Tier2,2,3.8,1
ORD100055,1228.73,Groceries,39.4,Prepaid,7,2,148,Tier2,9,4.0,1
ORD100056,1148.83,Electronics,36.1,COD,2,1,196,Metro,3,3.7,1
ORD100057,2728.61,Electronics,11.9,Prepaid,3,1,640,Tier2,9,3.8,1
ORD100058,644.43,Books,13.8,COD,3,1,99,Tier2,7,4.3,0
ORD100059,1383.48,Home,29.0,COD,3,0,574,Tier2,4,4.7,0
ORD100060,4027.11,Beauty,19.2,COD,5,0,25,Metro,4,3.2,1
ORD100061,2452.63,Home,8.7,COD,6,0,52,Tier2,9,4.2,1
ORD100062,1862.89,Groceries,25.9,Prepaid,1,1,85,Metro,9,4.0,0
ORD100063,334.31,Groceries,41.6,COD,8,1,197,Tier2,4,4.7,1
ORD100064,760.75,Apparel,10.0,Prepaid,3,1,9,Metro,6,4.9,0
ORD100065,3607.27,Home,34.1,Prepaid,6,0,85,Tier2,9,3.8,1
ORD100066,1821.14,Home,42.6,Prepaid,3,1,971,Tier3,8,2.9,1
ORD100067,602.11,Home,13.8,Prepaid,6,0,542,Tier2,1,4.2,1
ORD100068,743.19,Books,12.1,Prepaid,4,1,152,Metro,3,3.2,0
ORD100069,2927.47,Home,17.2,Prepaid,2,1,193,Metro,1,3.2,1
ORD100070,867.91,Home,28.8,Prepaid,1,1,151,Tier2,2,4.4,1
ORD100071,1404.54,Electronics,19.9,COD,2,1,62,Metro,7,2.7,0
ORD100072,2448.92,Groceries,11.6,Prepaid,1,1,72,Metro,5,4.0,0
ORD100073,1268.18,Apparel,13.3,COD,7,0,235,Tier2,9,4.3,1
ORD100074,612.16,Apparel,46.0,COD,7,0,125,Metro,5,3.6,1
ORD100075,2692.61,Beauty,1.2,COD,4,0,195,Metro,3,4.1,0
ORD100076,1948.94,Beauty,19.0,Prepaid,6,0,473,Tier2,8,3.7,1
ORD100077,1889.15,Home,1.5,COD,6,0,107,Tier3,8,5.0,1
ORD100078,828.72,Home,19.7,Prepaid,3,0,304,Tier3,9,3.8,0
ORD100079,2147.63,Beauty,2.6,COD,6,1,153,Metro,1,3.8,0
ORD100080,1910.57,Apparel,24.2,Prepaid,3,0,135,Metro,3,3.1,1
ORD100081,3197.76,Groceries,18.0,COD,4,1,400,Tier2,8,3.8,0
ORD100082,2362.04,Apparel,19.1,Prepaid,2,0,127,Metro,9,4.0,0
ORD100083,1852.91,Electronics,12.9,Prepaid,5,0,512,Metro,5,2.5,0
ORD100084,1386.21,Electronics,9.4,Prepaid,3,0,21,Metro,2,3.8,0
ORD100085,1261.84,Books,31.4,Prepaid,3,0,455,Tier2,9,3.9,0
ORD100086,805.81,Electronics,5.4,Prepaid,4,0,57,Tier2,4,4.5,0
ORD100087,4003.66,Books,14.9,Prepaid,3,1,342,Tier2,8,4.0,0
ORD100088,441.06,Apparel,36.2,COD,3,1,316,Tier3,3,3.5,1
ORD100089,1657.56,Home,12.1,Prepaid,5,0,660,Metro,7,3.8,0
ORD100090,801.5,Electronics,12.2,COD,1,0,185,Tier3,4,4.3,0
ORD100091,501.84,Books,4.0,Prepaid,6,0,90,Tier2,9,3.6,0
ORD100092,678.43,Footwear,10.9,Prepaid,2,0,273,Tier3,9,4.0,0
ORD100093,871.79,Electronics,12.4,Prepaid,5,0,1150,Metro,8,4.0,0
ORD100094,1699.49,Books,19.4,Prepaid,6,0,105,Metro,3,3.9,0
ORD100095,788.31,Groceries,18.3,Prepaid,3,1,287,Tier2,2,3.4,0
ORD100096,1586.34,Beauty,16.1,Prepaid,5,1,73,Tier2,5,4.5,0
ORD100097,296.84,Groceries,36.5,Prepaid,3,1,490,Metro,3,5.0,0
ORD100098,1990.27,Groceries,11.7,COD,3,1,57,Tier2,6,3.7,0
ORD100099,984.68,Books,34.1,COD,1,1,218,Metro,3,3.3,1
ORD100100,739.21,Footwear,1.8,Prepaid,4,0,76,Metro,9,4.2,1
ORD100101,1232.55,Apparel,17.7,Prepaid,3,0,10,Metro,4,4.2,0
ORD100102,215.65,Electronics,7.9,COD,3,2,318,Tier2,5,4.1,1
ORD100103,651.09,Electronics,11.8,COD,5,1,30,Tier3,3,2.6,1
ORD100104,1044.71,Groceries,25.8,COD,3,0,323,Tier2,4,4.0,1
ORD100105,1749.71,Electronics,46.2,Prepaid,4,0,65,Tier2,8,3.4,0
ORD100106,2737.76,Home,23.4,Prepaid,4,0,273,Metro,7,4.6,0
ORD100107,2661.47,Beauty,10.7,Prepaid,4,3,348,Tier3,3,3.7,0
ORD100108,1659.88,Apparel,16.0,Prepaid,5,0,380,Metro,3,4.4,0
ORD100109,467.41,Apparel,35.6,Prepaid,2,0,1,Metro,7,4.2,0
ORD100110,2450.83,Home,9.9,COD,7,2,35,Tier3,8,3.6,0
ORD100111,1612.0,Groceries,19.2,Prepaid,4,2,530,Tier2,3,4.3,1
ORD100112,1213.32,Groceries,12.1,COD,3,2,124,Metro,8,3.7,0
ORD100113,835.99,Books,2.0,Prepaid,4,1,935,Tier3,8,4.5,0
ORD100114,478.64,Books,10.7,COD,3,1,95,Tier3,7,3.8,1
ORD100115,2351.87,Books,32.6,COD,6,2,186,Tier3,5,2.4,1
ORD100116,2386.36,Groceries,8.6,COD,2,0,795,Metro,1,4.1,0
ORD100117,2300.17,Electronics,33.3,COD,3,0,162,Tier3,4,3.6,1
ORD100118,1515.21,Home,23.9,COD,6,0,45,Metro,1,4.0,0
ORD100119,843.11,Home,12.8,COD,5,1,480,Metro,3,3.5,0
ORD100120,2332.21,Home,2.6,Prepaid,2,1,50,Metro,2,4.7,0
ORD100121,624.32,Electronics,18.9,COD,1,1,1137,Tier2,3,4.7,0
ORD100122,1185.74,Home,26.6,COD,6,0,280,Metro,4,3.3,0
ORD100123,4042.45,Groceries,55.2,Prepaid,1,0,94,Metro,7,3.7,0
ORD100124,4827.36,Apparel,6.3,Prepaid,2,0,234,Metro,3,5.0,0
ORD100125,2798.49,Electronics,17.8,Prepaid,7,0,100,Tier2,1,3.8,0
ORD100126,1073.72,Books,33.9,COD,3,0,563,Tier2,8,4.4,0
ORD100127,5242.12,Books,16.1,Prepaid,4,0,13,Tier2,4,3.5,0
ORD100128,1528.67,Apparel,12.2,COD,1,0,238,Metro,2,3.6,0
ORD100129,1334.58,Electronics,20.4,Prepaid,6,0,306,Metro,5,3.5,0
ORD100130,1532.37,Electronics,24.2,COD,6,0,100,Tier2,2,4.3,0
ORD100131,2360.44,Apparel,14.2,COD,3,0,94,Metro,2,4.6,1
ORD100132,758.61,Beauty,9.7,COD,5,0,97,Metro,1,4.2,0
ORD100133,1502.98,Home,23.7,Prepaid,3,0,437,Tier2,2,2.7,0
ORD100134,3248.75,Apparel,34.9,Prepaid,4,0,374,Metro,6,3.5,0
ORD100135,1499.15,Beauty,30.5,COD,1,0,160,Metro,9,3.5,1
ORD100136,2988.09,Home,37.3,COD,4,2,92,Metro,5,4.7,0
ORD100137,650.94,Apparel,19.8,COD,6,0,84,Metro,7,4.5,0
ORD100138,4130.21,Books,9.0,Prepaid,6,1,127,Tier3,4,4.7,0
ORD100139,603.81,Books,8.7,Prepaid,3,0,493,Metro,2,3.2,0
ORD100140,1541.24,Electronics,11.3,COD,8,2,471,Metro,2,3.5,1
ORD100141,3727.99,Footwear,6.7,Prepaid,4,0,132,Metro,5,3.6,1
ORD100142,497.79,Electronics,58.9,COD,1,0,176,Metro,1,3.6,0
ORD100143,2327.92,Electronics,8.0,COD,5,0,549,Tier3,7,3.9,1
ORD100144,2529.69,Footwear,15.4,Prepaid,5,1,389,Tier2,8,4.6,0
ORD100145,896.19,Apparel,31.9,Prepaid,1,1,326,Metro,9,3.4,0
ORD100146,826.53,Books,38.6,Prepaid,3,1,94,Tier3,9,3.7,0
ORD100147,1488.31,Footwear,19.0,Prepaid,3,0,488,Metro,7,4.6,0
ORD100148,852.86,Beauty,17.6,Prepaid,5,0,7,Metro,4,4.6,0
ORD100149,299.8,Groceries,12.3,Prepaid,6,0,601,Tier3,4,4.0,0
ORD100150,2754.95,Home,17.5,COD,0,0,238,Tier3,5,4.2,0
ORD100151,2670.6,Electronics,21.0,COD,2,0,1206,Tier3,4,3.9,0
ORD100152,1884.42,Books,32.8,COD,4,1,220,Tier2,7,3.8,0
ORD100153,2343.74,Footwear,49.5,Prepaid,3,0,241,Tier2,5,4.2,0
ORD100154,4528.36,Electronics,6.0,COD,1,1,140,Tier2,1,3.4,1
ORD100155,2279.27,Home,34.0,Prepaid,4,1,173,Tier2,3,5.0,0
ORD100156,568.64,Apparel,25.9,Prepaid,3,0,272,Tier2,2,3.9,0
ORD100157,346.93,Books,19.6,Prepaid,5,2,181,Tier3,6,5.0,0
ORD100158,964.38,Home,44.6,Prepaid,2,0,98,Metro,3,4.3,0
ORD100159,1377.69,Footwear,6.4,COD,2,1,241,Tier3,9,4.6,1
ORD100160,886.43,Books,36.8,COD,3,1,221,Tier3,5,4.9,1
ORD100161,1125.4,Apparel,10.6,COD,6,0,127,Metro,3,3.6,0
ORD100162,1087.07,Footwear,20.2,Prepaid,9,0,237,Tier2,1,3.5,0
ORD100163,1015.78,Books,12.9,COD,3,1,192,Tier2,5,3.2,0
ORD100164,1644.68,Footwear,37.1,COD,6,0,488,Metro,3,4.7,0
ORD100165,2415.56,Footwear,2.4,COD,5,0,139,Tier3,7,4.1,1
ORD100166,2028.5,Electronics,18.8,COD,1,0,260,Metro,9,4.6,0
ORD100167,2867.64,Beauty,33.5,Prepaid,3,1,446,Metro,5,4.9,0
ORD100168,551.2,Groceries,34.8,COD,3,1,517,Metro,2,3.6,1
ORD100169,1437.47,Apparel,23.8,COD,5,1,27,Tier2,5,3.6,0
ORD100170,1018.45,Apparel,34.4,COD,8,0,2041,Metro,3,4.7,1
ORD100171,1519.19,Electronics,18.9,Prepaid,1,0,745,Metro,1,4.0,0
ORD100172,4678.4,Books,28.2,Prepaid,4,2,225,Tier2,5,4.0,1
ORD100173,2197.49,Home,20.7,Prepaid,3,2,242,Tier3,1,4.6,1
ORD100174,1431.79,Home,12.2,COD,5,2,538,Metro,2,3.8,1
ORD100175,3820.83,Footwear,25.0,Prepaid,8,0,73,Metro,1,4.4,0
ORD100176,925.21,Books,13.2,Prepaid,4,0,17,Tier3,8,3.4,0
ORD100177,951.98,Home,23.4,COD,4,1,31,Tier2,7,3.2,1
ORD100178,1532.35,Groceries,45.2,Prepaid,3,0,183,Metro,9,2.9,0
ORD100179,1521.19,Electronics,8.5,Prepaid,5,0,359,Tier2,9,3.8,0
ORD100180,4035.1,Beauty,16.8,Prepaid,4,1,156,Tier3,6,4.0,0
ORD100181,1003.52,Groceries,8.5,Prepaid,4,1,91,Tier2,2,3.5,0
ORD100182,130.74,Home,18.1,Prepaid,5,0,272,Metro,7,3.6,1
ORD100183,805.17,Footwear,8.0,COD,1,1,548,Tier3,1,4.5,1
ORD100184,1607.6,Electronics,6.2,COD,3,1,794,Metro,6,3.7,0
ORD100185,3627.71,Groceries,16.8,COD,8,1,377,Tier3,9,4.1,0
ORD100186,801.77,Home,11.4,Prepaid,3,0,53,Metro,8,3.7,0
ORD100187,1149.47,Beauty,3.7,COD,3,0,326,Tier2,2,4.9,1
